CMDLINE /home/wuning/anaconda3/bin/python generateBeijingSupervisedData.py
MEM 4557.417969 1537849698.9448
MEM 4557.417969 1537849699.0452
MEM 4557.417969 1537849699.1457
MEM 4557.417969 1537849699.2462
MEM 4557.417969 1537849699.3467
MEM 4557.417969 1537849699.4471
MEM 4557.417969 1537849699.5476
MEM 4557.417969 1537849699.6480
MEM 4557.417969 1537849699.7485
MEM 4557.417969 1537849699.8490
MEM 4557.417969 1537849699.9494
MEM 4557.417969 1537849700.0499
MEM 4557.417969 1537849700.1503
MEM 4557.417969 1537849700.2508
MEM 4557.417969 1537849700.3512
MEM 4620.839844 1537849700.4517
MEM 4700.246094 1537849700.5521
MEM 4780.425781 1537849700.6525
MEM 4860.347656 1537849700.7529
MEM 4939.753906 1537849700.8534
MEM 5018.902344 1537849700.9538
MEM 5097.792969 1537849701.0543
MEM 5176.683594 1537849701.1547
MEM 5255.832031 1537849701.2551
MEM 5334.980469 1537849701.3556
MEM 5412.839844 1537849701.4560
MEM 5412.839844 1537849701.5565
MEM 5412.839844 1537849701.6570
MEM 5157.070312 1537849701.7574
MEM 5157.070312 1537849701.8578
MEM 5157.070312 1537849701.9583
MEM 5157.070312 1537849702.0587
MEM 5157.070312 1537849702.1592
MEM 5157.070312 1537849702.2596
MEM 5157.070312 1537849702.3600
MEM 5157.070312 1537849702.4605
MEM 5157.070312 1537849702.5609
MEM 5157.070312 1537849702.6614
MEM 5157.070312 1537849702.7618
MEM 5157.070312 1537849702.8623
MEM 5157.070312 1537849702.9627
MEM 5157.070312 1537849703.0631
MEM 5157.070312 1537849703.1636
MEM 5157.070312 1537849703.2640
MEM 5157.070312 1537849703.3645
MEM 5157.070312 1537849703.4649
MEM 5157.070312 1537849703.5653
MEM 5157.070312 1537849703.6658
MEM 5157.070312 1537849703.7662
MEM 5157.070312 1537849703.8667
MEM 5157.070312 1537849703.9671
MEM 5157.070312 1537849704.0676
MEM 5160.355469 1537849704.1680
MEM 5170.355469 1537849704.2684
MEM 5180.355469 1537849704.3688
MEM 5192.355469 1537849704.4693
MEM 5202.355469 1537849704.5697
MEM 5212.355469 1537849704.6701
MEM 5222.355469 1537849704.7706
MEM 5232.484375 1537849704.8710
MEM 5242.484375 1537849704.9714
MEM 5254.484375 1537849705.0719
MEM 5264.484375 1537849705.1723
MEM 5274.484375 1537849705.2727
MEM 5284.484375 1537849705.3732
MEM 5294.484375 1537849705.4736
MEM 5306.484375 1537849705.5741
MEM 5316.484375 1537849705.6745
MEM 5326.484375 1537849705.7749
MEM 5336.484375 1537849705.8754
MEM 5346.484375 1537849705.9758
MEM 5356.484375 1537849706.0763
MEM 5368.484375 1537849706.1767
MEM 5378.484375 1537849706.2771
MEM 5388.484375 1537849706.3776
MEM 5398.484375 1537849706.4780
MEM 5408.484375 1537849706.5785
MEM 5420.484375 1537849706.6789
MEM 5430.484375 1537849706.7794
MEM 5440.484375 1537849706.8798
MEM 5450.484375 1537849706.9802
MEM 5460.484375 1537849707.0807
MEM 5470.484375 1537849707.1811
MEM 5482.484375 1537849707.2816
MEM 5492.484375 1537849707.3821
MEM 5502.484375 1537849707.4825
MEM 5512.484375 1537849707.5829
MEM 5522.484375 1537849707.6834
MEM 5532.484375 1537849707.7838
MEM 5544.484375 1537849707.8842
MEM 5554.484375 1537849707.9847
MEM 5564.484375 1537849708.0851
MEM 5574.484375 1537849708.1856
MEM 5584.484375 1537849708.2860
MEM 5594.484375 1537849708.3864
MEM 5604.484375 1537849708.4869
MEM 5614.484375 1537849708.5873
MEM 5626.484375 1537849708.6878
MEM 5636.484375 1537849708.7882
MEM 5175.007812 1537849708.8886
MEM 5237.796875 1537849708.9890
MEM 5302.789062 1537849709.0895
MEM 5360.796875 1537849709.1899
MEM 5433.625000 1537849709.2903
MEM 5491.117188 1537849709.3908
MEM 5549.125000 1537849709.4912
MEM 5636.800781 1537849709.5916
MEM 5694.804688 1537849709.6921
MEM 5753.000000 1537849709.7925
MEM 5810.750000 1537849709.8929
MEM 5868.390625 1537849709.9933
MEM 5926.656250 1537849710.0938
MEM 5984.664062 1537849710.1942
MEM 6042.671875 1537849710.2946
MEM 6160.066406 1537849710.3950
MEM 6218.074219 1537849710.4955
MEM 6276.082031 1537849710.5959
MEM 6334.347656 1537849710.6963
MEM 6392.199219 1537849710.7967
MEM 6450.207031 1537849710.8972
MEM 6508.214844 1537849710.9976
MEM 6566.222656 1537849711.0980
MEM 6588.136719 1537849711.1985
MEM 6588.136719 1537849711.2989
MEM 6469.839844 1537849711.3993
MEM 6487.816406 1537849711.4997
MEM 6509.593750 1537849711.6002
MEM 6539.230469 1537849711.7006
MEM 6553.152344 1537849711.8010
MEM 6567.074219 1537849711.9014
MEM 6581.253906 1537849712.0018
MEM 6555.980469 1537849712.1022
MEM 6555.980469 1537849712.2026
MEM 6555.980469 1537849712.3029
MEM 6558.121094 1537849712.4033
MEM 6558.121094 1537849712.5036
MEM 6558.121094 1537849712.6040
MEM 6558.121094 1537849712.7043
MEM 6558.121094 1537849712.8047
MEM 6558.121094 1537849712.9050
MEM 6558.121094 1537849713.0054
MEM 6558.121094 1537849713.1057
MEM 6558.121094 1537849713.2060
MEM 6558.121094 1537849713.3064
MEM 6558.121094 1537849713.4067
MEM 6558.121094 1537849713.5071
MEM 6558.121094 1537849713.6074
MEM 6558.121094 1537849713.7077
MEM 6558.121094 1537849713.8081
MEM 6558.121094 1537849713.9084
MEM 6558.121094 1537849714.0087
MEM 6558.121094 1537849714.1091
MEM 6558.121094 1537849714.2094
MEM 6558.121094 1537849714.3097
MEM 6558.121094 1537849714.4101
MEM 6558.121094 1537849714.5104
MEM 6558.121094 1537849714.6108
MEM 6558.121094 1537849714.7111
MEM 6558.121094 1537849714.8115
MEM 6558.121094 1537849714.9118
MEM 6558.121094 1537849715.0122
MEM 6558.121094 1537849715.1125
MEM 6558.121094 1537849715.2128
MEM 6558.121094 1537849715.3132
MEM 6558.121094 1537849715.4136
MEM 6558.121094 1537849715.5139
MEM 6558.121094 1537849715.6142
MEM 6558.121094 1537849715.7146
MEM 6558.121094 1537849715.8150
MEM 6558.121094 1537849715.9154
MEM 6561.925781 1537849716.0158
MEM 6570.339844 1537849716.1161
MEM 6573.441406 1537849716.2166
MEM 6573.441406 1537849716.3171
MEM 6582.449219 1537849716.4174
MEM 6592.527344 1537849716.5177
MEM 6593.886719 1537849716.6180
MEM 6594.636719 1537849716.7183
MEM 6595.343750 1537849716.8185
MEM 6596.109375 1537849716.9188
MEM 6596.921875 1537849717.0190
MEM 6622.800781 1537849717.1204
MEM 6663.527344 1537849717.2217
MEM 6721.601562 1537849717.3220
MEM 6801.574219 1537849717.4223
MEM 6793.734375 1537849717.5226
MEM 6898.832031 1537849717.6230
MEM 7033.835938 1537849717.7232
MEM 7101.699219 1537849717.8236
MEM 7234.906250 1537849717.9239
MEM 7278.558594 1537849718.0244
MEM 7290.558594 1537849718.1248
MEM 7318.058594 1537849718.2252
MEM 7318.058594 1537849718.3257
MEM 7397.769531 1537849718.4262
MEM 7405.570312 1537849718.5266
MEM 7413.570312 1537849718.6270
MEM 7420.816406 1537849718.7275
MEM 7445.187500 1537849718.8279
MEM 7455.917969 1537849718.9283
MEM 7472.863281 1537849719.0288
MEM 7480.863281 1537849719.1292
MEM 7491.097656 1537849719.2297
MEM 7617.113281 1537849719.3301
MEM 7644.726562 1537849719.4306
MEM 7654.726562 1537849719.5311
MEM 7611.167969 1537849719.6315
MEM 7858.468750 1537849719.7320
MEM 7946.515625 1537849719.8324
MEM 7956.515625 1537849719.9329
MEM 7906.906250 1537849720.0333
MEM 7915.421875 1537849720.1338
MEM 7925.421875 1537849720.2342
MEM 7955.433594 1537849720.3346
MEM 7955.433594 1537849720.4350
MEM 7955.433594 1537849720.5354
MEM 7969.882812 1537849720.6359
MEM 7984.117188 1537849720.7363
MEM 7974.992188 1537849720.8367
MEM 8007.906250 1537849720.9372
MEM 8015.906250 1537849721.0376
MEM 7979.289062 1537849721.1381
MEM 8045.960938 1537849721.2385
MEM 8057.960938 1537849721.3390
MEM 8077.589844 1537849721.4395
MEM 8081.761719 1537849721.5400
MEM 8091.761719 1537849721.6404
MEM 8029.031250 1537849721.7409
MEM 8117.562500 1537849721.8413
MEM 8127.800781 1537849721.9418
MEM 8078.281250 1537849722.0422
MEM 8090.281250 1537849722.1427
MEM 8119.039062 1537849722.2431
MEM 8119.039062 1537849722.3436
MEM 8152.222656 1537849722.4440
MEM 8152.222656 1537849722.5444
MEM 8137.160156 1537849722.6449
MEM 8168.285156 1537849722.7454
MEM 8176.285156 1537849722.8458
MEM 8141.199219 1537849722.9462
MEM 8199.378906 1537849723.0467
MEM 8209.378906 1537849723.1472
MEM 8163.269531 1537849723.2476
MEM 8236.468750 1537849723.3480
MEM 8248.468750 1537849723.4485
MEM 8262.789062 1537849723.5489
MEM 8277.304688 1537849723.6494
MEM 8232.273438 1537849723.7498
MEM 8244.273438 1537849723.8502
MEM 8275.285156 1537849723.9506
MEM 8275.285156 1537849724.0511
MEM 8310.570312 1537849724.1515
MEM 8309.425781 1537849724.2520
MEM 8275.464844 1537849724.3524
MEM 8331.546875 1537849724.4529
MEM 8298.121094 1537849724.5533
MEM 8358.773438 1537849724.6538
MEM 8366.773438 1537849724.7542
MEM 8376.984375 1537849724.8546
MEM 8394.054688 1537849724.9551
MEM 8406.054688 1537849725.0555
MEM 8461.113281 1537849725.1560
MEM 8435.535156 1537849725.2564
MEM 8366.144531 1537849725.3569
MEM 8402.222656 1537849725.4573
MEM 8412.953125 1537849725.5578
MEM 8436.457031 1537849725.6582
MEM 8436.457031 1537849725.7587
MEM 8436.457031 1537849725.8591
MEM 8471.761719 1537849725.9595
MEM 8471.761719 1537849726.0600
MEM 8484.546875 1537849726.1604
MEM 8493.062500 1537849726.2609
MEM 8503.062500 1537849726.3613
MEM 8520.714844 1537849726.4617
MEM 8532.960938 1537849726.5622
MEM 8483.535156 1537849726.6626
MEM 8562.683594 1537849726.7631
MEM 8574.683594 1537849726.8635
MEM 8609.109375 1537849726.9640
MEM 8594.394531 1537849727.0644
MEM 8604.394531 1537849727.1648
MEM 8553.605469 1537849727.2652
MEM 8560.121094 1537849727.3656
MEM 8568.355469 1537849727.4660
MEM 8586.140625 1537849727.5664
MEM 8599.648438 1537849727.6668
MEM 8599.648438 1537849727.7672
MEM 8634.300781 1537849727.8675
MEM 8634.300781 1537849727.9679
MEM 8634.300781 1537849728.0682
MEM 8652.367188 1537849728.1686
MEM 8664.367188 1537849728.2690
MEM 8737.667969 1537849728.3693
MEM 8693.742188 1537849728.4696
MEM 8645.875000 1537849728.5701
MEM 8723.304688 1537849728.6705
MEM 8735.304688 1537849728.7709
MEM 8749.648438 1537849728.8712
MEM 8762.933594 1537849728.9717
MEM 8714.320312 1537849729.0721
MEM 8728.355469 1537849729.1726
MEM 8742.125000 1537849729.2730
MEM 8761.632812 1537849729.3734
MEM 8768.406250 1537849729.4738
MEM 8796.742188 1537849729.5743
MEM 8761.878906 1537849729.6747
MEM 8818.652344 1537849729.7751
MEM 8830.652344 1537849729.8754
MEM 8850.320312 1537849729.9759
MEM 8862.320312 1537849730.0763
MEM 8879.476562 1537849730.1767
MEM 8893.992188 1537849730.2771
MEM 8832.972656 1537849730.3776
MEM 8917.601562 1537849730.4780
MEM 8929.601562 1537849730.5783
MEM 8882.335938 1537849730.6787
MEM 8894.335938 1537849730.7790
MEM 8922.832031 1537849730.8794
MEM 8922.832031 1537849730.9797
MEM 8922.832031 1537849731.0800
MEM 8956.976562 1537849731.1803
MEM 8956.976562 1537849731.2807
MEM 8962.296875 1537849731.3811
MEM 8979.617188 1537849731.4816
MEM 8945.671875 1537849731.5820
MEM 9012.832031 1537849731.6825
MEM 9024.832031 1537849731.7829
MEM 9100.082031 1537849731.8834
MEM 9044.121094 1537849731.9838
MEM 9054.121094 1537849732.0842
MEM 9054.308594 1537849732.1849
MEM 9075.597656 1537849732.2853
MEM 9085.597656 1537849732.3856
MEM 9037.257812 1537849732.4860
MEM 9046.289062 1537849732.5863
MEM 9056.289062 1537849732.6866
MEM 9081.562500 1537849732.7870
MEM 9081.562500 1537849732.8874
MEM 9115.703125 1537849732.9878
MEM 9115.703125 1537849733.0881
MEM 9129.570312 1537849733.1886
MEM 9141.570312 1537849733.2890
MEM 9144.910156 1537849733.3895
MEM 9172.855469 1537849733.4899
MEM 9127.074219 1537849733.5903
MEM 9202.078125 1537849733.6908
MEM 9216.078125 1537849733.7912
MEM 9231.554688 1537849733.8916
MEM 9245.554688 1537849733.9921
MEM 9200.312500 1537849734.0925
MEM 9212.312500 1537849734.1930
MEM 9239.843750 1537849734.2934
MEM 9239.843750 1537849734.3938
MEM 9239.843750 1537849734.4942
MEM 9273.531250 1537849734.5946
MEM 9273.531250 1537849734.6951
MEM 9273.531250 1537849734.7955
MEM 9289.039062 1537849734.8959
MEM 9301.039062 1537849734.9963
MEM 9282.351562 1537849735.0968
MEM 9328.281250 1537849735.1972
MEM 9340.500000 1537849735.2977
MEM 9352.945312 1537849735.3982
MEM 9361.460938 1537849735.4986
MEM 9371.460938 1537849735.5991
MEM 9454.925781 1537849735.6995
MEM 9396.898438 1537849735.8000
MEM 9329.750000 1537849735.9004
MEM 9284.109375 1537849736.0008
MEM 9284.109375 1537849736.1013
MEM 7790.738281 1537849736.2017
MEM 7790.738281 1537849736.3021
MEM 7825.421875 1537849736.4026
MEM 7825.421875 1537849736.5030
MEM 7825.421875 1537849736.6033
MEM 7844.941406 1537849736.7036
MEM 7856.941406 1537849736.8040
MEM 7876.527344 1537849736.9043
MEM 7888.527344 1537849737.0046
MEM 7858.089844 1537849737.1051
MEM 7916.187500 1537849737.2054
MEM 7928.187500 1537849737.3057
MEM 7945.648438 1537849737.4061
MEM 7959.648438 1537849737.5064
MEM 7908.886719 1537849737.6067
MEM 7914.886719 1537849737.7070
MEM 7924.886719 1537849737.8073
MEM 7953.894531 1537849737.9076
MEM 7953.894531 1537849738.0079
MEM 7994.921875 1537849738.1084
MEM 7989.507812 1537849738.2088
MEM 7954.042969 1537849738.3092
MEM 8010.351562 1537849738.4096
MEM 8022.351562 1537849738.5100
MEM 8036.824219 1537849738.6105
MEM 8044.109375 1537849738.7109
MEM 8054.109375 1537849738.8113
MEM 8028.328125 1537849738.9119
MEM 8077.867188 1537849739.0124
MEM 8087.867188 1537849739.1127
MEM 8025.062500 1537849739.2130
MEM 8113.625000 1537849739.3133
MEM 8127.625000 1537849739.4136
MEM 8075.039062 1537849739.5139
MEM 8081.039062 1537849739.6142
MEM 8091.039062 1537849739.7145
MEM 8118.308594 1537849739.8150
MEM 8118.308594 1537849739.9154
MEM 8118.308594 1537849740.0158
MEM 8153.414062 1537849740.1162
MEM 8153.414062 1537849740.2167
MEM 8125.062500 1537849740.3171
MEM 8175.324219 1537849740.4176
MEM 8187.550781 1537849740.5180
MEM 8204.996094 1537849740.6184
MEM 8216.996094 1537849740.7188
MEM 8258.300781 1537849740.8193
MEM 8246.667969 1537849740.9198
MEM 8188.363281 1537849741.0202
MEM 8274.277344 1537849741.1206
MEM 8286.277344 1537849741.2211
MEM 8239.011719 1537849741.3215
MEM 8253.011719 1537849741.4220
MEM 8282.023438 1537849741.5224
MEM 8282.023438 1537849741.6228
MEM 8317.257812 1537849741.7233
MEM 8317.257812 1537849741.8237
MEM 8331.804688 1537849741.9242
MEM 8341.785156 1537849742.0246
MEM 8305.554688 1537849742.1250
MEM 8375.492188 1537849742.2254
MEM 8387.492188 1537849742.3259
MEM 8403.214844 1537849742.4262
MEM 8415.214844 1537849742.5267
MEM 8408.507812 1537849742.6271
MEM 8443.113281 1537849742.7275
MEM 8457.113281 1537849742.8279
MEM 8408.839844 1537849742.9283
MEM 8421.066406 1537849743.0288
MEM 8445.078125 1537849743.1292
MEM 8445.078125 1537849743.2297
MEM 8479.796875 1537849743.3301
MEM 8479.796875 1537849743.4305
MEM 8497.148438 1537849743.5310
MEM 8511.148438 1537849743.6314
MEM 8528.464844 1537849743.7318
MEM 8542.464844 1537849743.8323
MEM 8518.398438 1537849743.9327
MEM 8566.089844 1537849744.0332
MEM 8574.089844 1537849744.1336
MEM 8514.445312 1537849744.2341
MEM 8599.656250 1537849744.3345
MEM 8609.656250 1537849744.4349
MEM 8562.121094 1537849744.5354
MEM 8574.894531 1537849744.6358
MEM 8584.402344 1537849744.7363
MEM 8607.906250 1537849744.8368
MEM 8607.906250 1537849744.9371
MEM 8607.906250 1537849745.0375
MEM 8643.140625 1537849745.1380
MEM 8643.140625 1537849745.2384
MEM 8657.925781 1537849745.3388
MEM 8665.925781 1537849745.4392
MEM 8675.925781 1537849745.5397
MEM 8690.093750 1537849745.6402
MEM 8697.636719 1537849745.7405
MEM 8709.636719 1537849745.8408
MEM 8789.949219 1537849745.9412
MEM 8739.292969 1537849746.0416
MEM 8678.390625 1537849746.1419
MEM 8767.000000 1537849746.2422
MEM 8779.000000 1537849746.3425
MEM 8726.722656 1537849746.4429
MEM 8734.980469 1537849746.5431
MEM 8742.980469 1537849746.6434
MEM 8772.250000 1537849746.7438
MEM 8772.250000 1537849746.8442
MEM 8830.503906 1537849746.9447
MEM 8807.484375 1537849747.0452
MEM 8772.320312 1537849747.1456
MEM 8827.753906 1537849747.2460
MEM 8841.753906 1537849747.3465
MEM 8857.464844 1537849747.4469
MEM 8871.464844 1537849747.5473
MEM 8883.511719 1537849747.6478
MEM 8901.179688 1537849747.7482
MEM 8912.687500 1537849747.8486
MEM 8929.089844 1537849747.9491
MEM 8943.089844 1537849748.0495
MEM 8890.292969 1537849748.1500
MEM 8899.066406 1537849748.2504
MEM 8909.066406 1537849748.3507
MEM 8934.855469 1537849748.4510
MEM 8934.855469 1537849748.5513
MEM 8934.855469 1537849748.6517
MEM 8969.125000 1537849748.7520
MEM 8969.125000 1537849748.8524
MEM 9022.125000 1537849748.9529
MEM 8988.578125 1537849749.0533
MEM 8996.578125 1537849749.1537
MEM 9017.925781 1537849749.2542
MEM 9026.160156 1537849749.3546
MEM 8980.593750 1537849749.4550
MEM 9055.425781 1537849749.5555
MEM 9067.425781 1537849749.6558
MEM 9085.179688 1537849749.7562
MEM 9089.011719 1537849749.8566
MEM 9099.011719 1537849749.9570
MEM 9050.167969 1537849750.0574
MEM 9062.941406 1537849750.1577
MEM 9072.449219 1537849750.2581
MEM 9095.437500 1537849750.3586
MEM 9095.437500 1537849750.4590
MEM 9130.156250 1537849750.5594
MEM 9130.156250 1537849750.6598
MEM 9135.593750 1537849750.7602
MEM 9146.996094 1537849750.8607
MEM 9156.996094 1537849750.9611
MEM 9118.906250 1537849751.0614
MEM 9180.566406 1537849751.1618
MEM 9188.566406 1537849751.2622
MEM 9199.296875 1537849751.3626
MEM 9214.191406 1537849751.4631
MEM 9226.191406 1537849751.5635
MEM 9173.316406 1537849751.6641
MEM 9249.503906 1537849751.7646
MEM 9259.503906 1537849751.8649
MEM 9211.191406 1537849751.9653
MEM 9224.996094 1537849752.0657
MEM 9235.468750 1537849752.1660
MEM 9259.488281 1537849752.2664
MEM 9259.488281 1537849752.3667
MEM 9259.488281 1537849752.4671
MEM 9295.300781 1537849752.5674
MEM 9295.300781 1537849752.6678
MEM 9310.546875 1537849752.7682
MEM 9322.546875 1537849752.8686
MEM 9296.941406 1537849752.9692
MEM 9348.605469 1537849753.0698
MEM 9356.605469 1537849753.1701
MEM 9307.277344 1537849753.2704
MEM 9386.402344 1537849753.3707
MEM 9398.402344 1537849753.4710
MEM 9443.558594 1537849753.5715
MEM 9428.457031 1537849753.6718
MEM 9438.457031 1537849753.7721
MEM 9380.921875 1537849753.8725
MEM 9399.964844 1537849753.9728
MEM 9427.046875 1537849754.0732
MEM 9430.039062 1537849754.1735
MEM 9430.039062 1537849754.2738
MEM 9460.261719 1537849754.3742
MEM 9467.777344 1537849754.4747
MEM 9467.777344 1537849754.5751
MEM 9478.058594 1537849754.6755
MEM 9486.058594 1537849754.7760
MEM 9524.414062 1537849754.8764
MEM 9509.644531 1537849754.9769
MEM 9479.070312 1537849755.0773
MEM 9487.070312 1537849755.1778
MEM 9504.113281 1537849755.2782
MEM 9533.410156 1537849755.3786
MEM 9533.410156 1537849755.4791
MEM 9562.707031 1537849755.5795
MEM 9562.707031 1537849755.6799
MEM 9599.222656 1537849755.7803
MEM 9562.761719 1537849755.8807
MEM 9606.640625 1537849755.9812
MEM 9606.640625 1537849756.0815
